onset	duration	trial_type	item
12.74	0	faceRecogNA	moh_06446.png
15.87	0	retNA	moh_06446.png
15.87	0	retFeedbackNA	moh_06446.png
19.99	0	retRatingNA	moh_06446.png
20.37	0	retRatingFeedbackNA	moh_06446.png
24.95	0	recog_sure_correct	moh_06446.png
27.2	0	recogFeedback_sure_correct	moh_06446.png
30.23	0	recogRating_sure_correct	moh_06446.png
31.17	0	recogRatingFeedback_sure_correct	moh_06446.png
35.55	0	faceRecog_guess_incorrect	far_00736.png
39.06	0	ret_guess_incorrect	far_00736.png
39.66	0	retFeedback_guess_incorrect	far_00736.png
43.36	0	retRating_guess_incorrect	far_00736.png
43.88	0	retRatingFeedback_guess_incorrect	far_00736.png
48.28	0	recog_unsure_correct	far_00736.png
49.51	0	recogFeedback_unsure_correct	far_00736.png
52.41	0	recogRating_unsure_correct	far_00736.png
53.98	0	recogRatingFeedback_unsure_correct	far_00736.png
57.11	0	faceRecog_guess_correct	mof_02408.png
60.21	0	ret_guess_correct	mof_02408.png
60.56	0	retFeedback_guess_correct	mof_02408.png
65.02	0	retRating_guess_correct	mof_02408.png
66.24	0	retRatingFeedback_guess_correct	mof_02408.png
69.4	0	recog_unsure_correct	mof_02408.png
71.82	0	recogFeedback_unsure_correct	mof_02408.png
73.4	0	recogRating_unsure_correct	mof_02408.png
75.17	0	recogRatingFeedback_unsure_correct	mof_02408.png
77.19	0	faceRecog_sure_correct	mat_23275.png
79.68	0	ret_sure_correct	mat_23275.png
79.97	0	retFeedback_sure_correct	mat_23275.png
84.72	0	retRating_sure_correct	mat_23275.png
85.03	0	retRatingFeedback_sure_correct	mat_23275.png
89.98	0	recog_sure_correct	mat_23275.png
90.65	0	recogFeedback_sure_correct	mat_23275.png
94.08	0	recogRating_sure_correct	mat_23275.png
94.46	0	recogRatingFeedback_sure_correct	mat_23275.png
99.28	0	faceRecog_guess_incorrect	foa_00207.png
100.88	0	ret_guess_incorrect	foa_00207.png
102.46	0	retFeedback_guess_incorrect	foa_00207.png
104.78	0	retRating_guess_incorrect	foa_00207.png
106.06	0	retRatingFeedback_guess_incorrect	foa_00207.png
108.34	0	recog_unsure_correct	foa_00207.png
