onset	duration	trial_type	item
13.41	0	Face_unsure_correct	moh_06446.png
15.64	0	Enc_unsure_correct	moh_06446.png
19.34	0	Recall_unsure_correct	moh_06446.png
19.34	0	Feedback_unsure_correct	moh_06446.png
24.04	0	NA	mof_02408.png
27.6	0	NA	mof_02408.png
32.57	0	NA	mof_02408.png
33.6	0	NA	mof_02408.png
36.42	0	Face_unsure_incorrect	far_00736.png
39.93	0	Enc_unsure_incorrect	far_00736.png
44.55	0	Recall_unsure_incorrect	far_00736.png
46.03	0	Feedback_unsure_incorrect	far_00736.png
48.74	0	Face_sure_correct	mat_23275.png
51.08	0	Enc_sure_correct	mat_23275.png
55.09	0	Recall_sure_correct	mat_23275.png
55.69	0	Feedback_sure_correct	mat_23275.png
60.01	0	Face_guess_correct	fov_15046.png
62.06	0	Enc_guess_correct	fov_15046.png
65.92	0	Recall_guess_correct	fov_15046.png
67.21	0	Feedback_guess_correct	fov_15046.png
69.37	0	Face_sure_correct	foa_00207.png
71.5	0	Enc_sure_correct	foa_00207.png
75.6	0	Recall_sure_correct	foa_00207.png
76.09	0	Feedback_sure_correct	foa_00207.png
79.87	0	Face_guess_incorrect	mot_69374.png
82.83	0	Enc_guess_incorrect	mot_69374.png
86.72	0	Recall_guess_incorrect	mot_69374.png
88.73	0	Feedback_guess_incorrect	mot_69374.png
91.45	0	Face_unsure_incorrect	mas_41366.png
94.38	0	Enc_unsure_incorrect	mas_41366.png
99.41	0	Recall_unsure_incorrect	mas_41366.png
99.96	0	Feedback_unsure_incorrect	mas_41366.png
103.74	0	Face_sure_correct	mau_49693.png
106.69	0	Enc_sure_correct	mau_49693.png
109.94	0	Recall_sure_correct	mau_49693.png
110.29	0	Feedback_sure_correct	mau_49693.png
113.51	0	Face_sure_correct	faw_14215.png
116.61	0	Enc_sure_correct	faw_14215.png
120.45	0	Recall_sure_correct	faw_14215.png
121.15	0	Feedback_sure_correct	faw_14215.png
124.79	0	NA	mao_11634.png
127.2	0	NA	mao_11634.png
131.48	0	NA	mao_11634.png
131.9	0	NA	mao_11634.png
136.15	0	Face_guess_incorrect	foc_02157.png
137.8	0	Enc_guess_incorrect	foc_02157.png
142.7	0	Recall_guess_incorrect	foc_02157.png
143.46	0	Feedback_guess_incorrect	foc_02157.png
147.28	0	Face_guess_incorrect	mog_03090.png
150.04	0	Enc_guess_incorrect	mog_03090.png
153.18	0	Recall_guess_incorrect	mog_03090.png
154.56	0	Feedback_guess_incorrect	mog_03090.png
157.44	0	Face_guess_correct	mol_07679.png
160.32	0	Enc_guess_correct	mol_07679.png
164.24	0	Recall_guess_correct	mol_07679.png
164.59	0	Feedback_guess_correct	mol_07679.png
167.62	0	Face_guess_incorrect	moe_02012.png
170.07	0	Enc_guess_incorrect	moe_02012.png
175.04	0	Recall_guess_incorrect	moe_02012.png
176.57	0	Feedback_guess_incorrect	moe_02012.png
178.95	0	NA	mob_00760.png
181.47	0	NA	mob_00760.png
186.15	0	NA	mob_00760.png
187.46	0	NA	mob_00760.png
191.33	0	Face_guess_incorrect	for_15187.png
194.43	0	Enc_guess_incorrect	for_15187.png
199.33	0	Recall_guess_incorrect	for_15187.png
199.71	0	Feedback_guess_incorrect	for_15187.png
204.53	0	Face_sure_correct	mos_20953.png
206.43	0	Enc_sure_correct	mos_20953.png
210.59	0	Recall_sure_correct	mos_20953.png
211.27	0	Feedback_sure_correct	mos_20953.png
215.06	0	Face_sure_correct	foq_16799.png
218.07	0	Enc_sure_correct	foq_16799.png
222.97	0	Recall_sure_correct	foq_16799.png
223.59	0	Feedback_sure_correct	foq_16799.png
228.23	0	NA	mae_01010.png
230.05	0	NA	mae_01010.png
233.88	0	NA	mae_01010.png
234.48	0	NA	mae_01010.png
237.53	0	Face_guess_correct	mon_65798.png
241.08	0	Enc_guess_correct	mon_65798.png
244.21	0	Recall_guess_correct	mon_65798.png
244.86	0	Feedback_guess_correct	mon_65798.png
248.68	0	Face_guess_incorrect	fot_00797.png
250.49	0	Enc_guess_incorrect	fot_00797.png
254.51	0	Recall_guess_incorrect	fot_00797.png
254.96	0	Feedback_guess_incorrect	fot_00797.png
258.84	0	Face_guess_correct	map_41499.png
261.77	0	Enc_guess_correct	map_41499.png
265.09	0	Recall_guess_correct	map_41499.png
265.37	0	Feedback_guess_correct	map_41499.png
268.5	0	Face_guess_correct	fou_17118.png
270.7	0	Enc_guess_correct	fou_17118.png
274.4	0	Recall_guess_correct	fou_17118.png
274.67	0	Feedback_guess_correct	fou_17118.png
279.62	0	Face_sure_correct	fai_07494.png
281.23	0	Enc_sure_correct	fai_07494.png
284.83	0	Recall_sure_correct	fai_07494.png
285.9	0	Feedback_sure_correct	fai_07494.png
290.03	0	Face_guess_correct	fac_02146.png
292.16	0	Enc_guess_correct	fac_02146.png
297.01	0	Recall_guess_correct	fac_02146.png
297.7	0	Feedback_guess_correct	fac_02146.png
300.54	0	Face_sure_correct	mac_59169.png
303.59	0	Enc_sure_correct	mac_59169.png
