onset	duration	trial_type	item
13.38	0	faceRecog_guess_incorrect	moj_11821.png
16.53	0	ret_guess_incorrect	moj_11821.png
18.13	0	retFeedback_guess_incorrect	moj_11821.png
21.05	0	retRating_guess_incorrect	moj_11821.png
22.5	0	retRatingFeedback_guess_incorrect	moj_11821.png
25.81	0	recog_unsure_correct	moj_11821.png
27.35	0	recogFeedback_unsure_correct	moj_11821.png
30.5	0	recogRating_unsure_correct	moj_11821.png
31.66	0	recogRatingFeedback_unsure_correct	moj_11821.png
34.61	0	faceRecog_guess_incorrect	mot_69374.png
37.73	0	ret_guess_incorrect	mot_69374.png
38.53	0	retFeedback_guess_incorrect	mot_69374.png
42.09	0	retRating_guess_incorrect	mot_69374.png
43.14	0	retRatingFeedback_guess_incorrect	mot_69374.png
47.21	0	recog_unsure_correct	mot_69374.png
48.56	0	recogFeedback_unsure_correct	mot_69374.png
52.3	0	recogRating_unsure_correct	mot_69374.png
52.67	0	recogRatingFeedback_unsure_correct	mot_69374.png
57.3	0	faceRecog_unsure_correct	mac_59169.png
60.77	0	ret_unsure_correct	mac_59169.png
61.82	0	retFeedback_unsure_correct	mac_59169.png
65.42	0	retRating_unsure_correct	mac_59169.png
65.83	0	retRatingFeedback_unsure_correct	mac_59169.png
69.6	0	recog_sure_correct	mac_59169.png
70.88	0	recogFeedback_sure_correct	mac_59169.png
74.38	0	recogRating_sure_correct	mac_59169.png
74.66	0	recogRatingFeedback_sure_correct	mac_59169.png
78.88	0	faceRecog_unsure_incorrect	faj_07783.png
81.43	0	ret_unsure_incorrect	faj_07783.png
82.43	0	retFeedback_unsure_incorrect	faj_07783.png
85.53	0	retRating_unsure_incorrect	faj_07783.png
86.66	0	retRatingFeedback_unsure_incorrect	faj_07783.png
90.31	0	recog_sure_correct	faj_07783.png
91.39	0	recogFeedback_sure_correct	faj_07783.png
94.17	0	recogRating_sure_correct	faj_07783.png
94.59	0	recogRatingFeedback_sure_correct	faj_07783.png
98.77	0	faceRecog_unsure_correct	mou_01862.png
101.05	0	ret_unsure_correct	mou_01862.png
102.35	0	retFeedback_unsure_correct	mou_01862.png
105.75	0	retRating_unsure_correct	mou_01862.png
106.24	0	retRatingFeedback_unsure_correct	mou_01862.png
110.87	0	recog_sure_correct	mou_01862.png
111.55	0	recogFeedback_sure_correct	mou_01862.png
115.5	0	recogRating_sure_correct	mou_01862.png
116.72	0	recogRatingFeedback_sure_correct	mou_01862.png
119.72	0	faceRecog_unsure_correct	fop_00621.png
122.03	0	ret_unsure_correct	fop_00621.png
122.76	0	retFeedback_unsure_correct	fop_00621.png
126.06	0	retRating_unsure_correct	fop_00621.png
126.63	0	retRatingFeedback_unsure_correct	fop_00621.png
131.08	0	recog_sure_correct	fop_00621.png
132.58	0	recogFeedback_sure_correct	fop_00621.png
135.49	0	recogRating_sure_correct	fop_00621.png
135.89	0	recogRatingFeedback_sure_correct	fop_00621.png
139.08	0	faceRecog_guess_correct	mae_01010.png
141.14	0	ret_guess_correct	mae_01010.png
142.62	0	retFeedback_guess_correct	mae_01010.png
145.44	0	retRating_guess_correct	mae_01010.png
146.84	0	retRatingFeedback_guess_correct	mae_01010.png
150.52	0	recog_guess_correct	mae_01010.png
152.04	0	recogFeedback_guess_correct	mae_01010.png
156.1	0	recogRating_guess_correct	mae_01010.png
156.4	0	recogRatingFeedback_guess_correct	mae_01010.png
160.67	0	faceRecog_unsure_incorrect	mon_65798.png
163.02	0	ret_unsure_incorrect	mon_65798.png
164.53	0	retFeedback_unsure_incorrect	mon_65798.png
168.18	0	retRating_unsure_incorrect	mon_65798.png
169.57	0	retRatingFeedback_unsure_incorrect	mon_65798.png
172.15	0	recog_guess_incorrect	mon_65798.png
174.01	0	recogFeedback_guess_incorrect	mon_65798.png
176.83	0	recogRating_guess_incorrect	mon_65798.png
177.16	0	recogRatingFeedback_guess_incorrect	mon_65798.png
181.2	0	faceRecog_guess_correct	mob_00760.png
183.49	0	ret_guess_correct	mob_00760.png
185.01	0	retFeedback_guess_correct	mob_00760.png
188.78	0	retRating_guess_correct	mob_00760.png
189.04	0	retRatingFeedback_guess_correct	mob_00760.png
192.32	0	recog_unsure_correct	mob_00760.png
193.72	0	recogFeedback_unsure_correct	mob_00760.png
196.24	0	recogRating_unsure_correct	mob_00760.png
196.54	0	recogRatingFeedback_unsure_correct	mob_00760.png
200.07	0	faceRecog_sure_correct	fok_09378.png
203.37	0	ret_sure_correct	fok_09378.png
204.05	0	retFeedback_sure_correct	fok_09378.png
207.24	0	retRating_sure_correct	fok_09378.png
207.54	0	retRatingFeedback_sure_correct	fok_09378.png
211.8	0	recog_sure_correct	fok_09378.png
212.85	0	recogFeedback_sure_correct	fok_09378.png
216.43	0	recogRating_sure_correct	fok_09378.png
217.38	0	recogRatingFeedback_sure_correct	fok_09378.png
221.2	0	faceRecog_guess_correct	foa_00207.png
223.01	0	ret_guess_correct	foa_00207.png
224.66	0	retFeedback_guess_correct	foa_00207.png
227.7	0	retRating_guess_correct	foa_00207.png
229.03	0	retRatingFeedback_guess_correct	foa_00207.png
231.16	0	recog_unsure_correct	foa_00207.png
232.89	0	recogFeedback_unsure_correct	foa_00207.png
236.18	0	recogRating_unsure_correct	foa_00207.png
236.41	0	recogRatingFeedback_unsure_correct	foa_00207.png
240.93	0	faceRecog_guess_correct	mol_07679.png
244.16	0	ret_guess_correct	mol_07679.png
245.47	0	retFeedback_guess_correct	mol_07679.png
249.27	0	retRating_guess_correct	mol_07679.png
249.57	0	retRatingFeedback_guess_correct	mol_07679.png
253.15	0	recog_guess_correct	mol_07679.png
254.97	0	recogFeedback_guess_correct	mol_07679.png
258.35	0	recogRating_guess_correct	mol_07679.png
258.6	0	recogRatingFeedback_guess_correct	mol_07679.png
263.65	0	faceRecog_sure_correct	maj_01545.png
266.95	0	ret_sure_correct	maj_01545.png
267.5	0	retFeedback_sure_correct	maj_01545.png
271.41	0	retRating_sure_correct	maj_01545.png
271.81	0	retRatingFeedback_sure_correct	maj_01545.png
275.13	0	recog_sure_correct	maj_01545.png
276.18	0	recogFeedback_sure_correct	maj_01545.png
279.09	0	recogRating_sure_correct	maj_01545.png
279.43	0	recogRatingFeedback_sure_correct	maj_01545.png
284.13	0	faceRecog_guess_incorrect	fab_06018.png
286.04	0	ret_guess_incorrect	fab_06018.png
287.23	0	retFeedback_guess_incorrect	fab_06018.png
289.52	0	retRating_guess_incorrect	fab_06018.png
290.81	0	retRatingFeedback_guess_incorrect	fab_06018.png
293.24	0	recog_unsure_correct	fab_06018.png
295.06	0	recogFeedback_unsure_correct	fab_06018.png
298	0	recogRating_unsure_correct	fab_06018.png
298.87	0	recogRatingFeedback_unsure_correct	fab_06018.png
301.37	0	faceRecog_guess_correct	fot_00797.png
303.75	0	ret_guess_correct	fot_00797.png
304.85	0	retFeedback_guess_correct	fot_00797.png
308.4	0	retRating_guess_correct	fot_00797.png
309.85	0	retRatingFeedback_guess_correct	fot_00797.png
313.3	0	recog_unsure_correct	fot_00797.png
315.28	0	recogFeedback_unsure_correct	fot_00797.png
317.27	0	recogRating_unsure_correct	fot_00797.png
317.52	0	recogRatingFeedback_unsure_correct	fot_00797.png
320.95	0	faceRecog_guess_incorrect	foi_03389.png
324.51	0	ret_guess_incorrect	foi_03389.png
325.78	0	retFeedback_guess_incorrect	foi_03389.png
328.73	0	retRating_guess_incorrect	foi_03389.png
329.76	0	retRatingFeedback_guess_incorrect	foi_03389.png
332.44	0	recog_sure_correct	foi_03389.png
333.71	0	recogFeedback_sure_correct	foi_03389.png
337.81	0	recogRating_sure_correct	foi_03389.png
338.12	0	recogRatingFeedback_sure_correct	foi_03389.png
342.32	0	faceRecog_guess_incorrect	moe_02012.png
343.99	0	ret_guess_incorrect	moe_02012.png
345.64	0	retFeedback_guess_incorrect	moe_02012.png
348.8	0	retRating_guess_incorrect	moe_02012.png
349.94	0	retRatingFeedback_guess_incorrect	moe_02012.png
353.9	0	recog_sure_correct	moe_02012.png
355.35	0	recogFeedback_sure_correct	moe_02012.png
358.74	0	recogRating_sure_correct	moe_02012.png
359.1	0	recogRatingFeedback_sure_correct	moe_02012.png
363.32	0	faceRecog_guess_incorrect	mom_59361.png
366.35	0	ret_guess_incorrect	mom_59361.png
367.68	0	retFeedback_guess_incorrect	mom_59361.png
369.98	0	retRating_guess_incorrect	mom_59361.png
371.11	0	retRatingFeedback_guess_incorrect	mom_59361.png
373.58	0	recog_sure_correct	mom_59361.png
375.08	0	recogFeedback_sure_correct	mom_59361.png
379.08	0	recogRating_sure_correct	mom_59361.png
379.41	0	recogRatingFeedback_sure_correct	mom_59361.png
384.26	0	faceRecog_sure_correct	mat_23275.png
386.54	0	ret_sure_correct	mat_23275.png
387.56	0	retFeedback_sure_correct	mat_23275.png
390.42	0	retRating_sure_correct	mat_23275.png
390.66	0	retRatingFeedback_sure_correct	mat_23275.png
394.51	0	recog_sure_correct	mat_23275.png
395.14	0	recogFeedback_sure_correct	mat_23275.png
398.5	0	recogRating_sure_correct	mat_23275.png
399.82	0	recogRatingFeedback_sure_correct	mat_23275.png
402.74	0	faceRecog_unsure_incorrect	far_00736.png
404.75	0	ret_unsure_incorrect	far_00736.png
405.35	0	retFeedback_unsure_incorrect	far_00736.png
408.3	0	retRating_unsure_incorrect	far_00736.png
409.4	0	retRatingFeedback_unsure_incorrect	far_00736.png
413.52	0	recog_guess_correct	far_00736.png
415.52	0	recogFeedback_guess_correct	far_00736.png
418.86	0	recogRating_guess_correct	far_00736.png
420.48	0	recogRatingFeedback_guess_correct	far_00736.png
422.43	0	faceRecog_guess_correct	fal_07906.png
424.28	0	ret_guess_correct	fal_07906.png
426.14	0	retFeedback_guess_correct	fal_07906.png
428.98	0	retRating_guess_correct	fal_07906.png
429.66	0	retRatingFeedback_guess_correct	fal_07906.png
432.71	0	recog_unsure_incorrect	fal_07906.png
434.01	0	recogFeedback_unsure_incorrect	fal_07906.png
437.11	0	recogRating_unsure_incorrect	fal_07906.png
438.71	0	recogRatingFeedback_unsure_incorrect	fal_07906.png
440.96	0	faceRecog_unsure_incorrect	foe_08236.png
443.02	0	ret_unsure_incorrect	foe_08236.png
444.36	0	retFeedback_unsure_incorrect	foe_08236.png
446.69	0	retRating_unsure_incorrect	foe_08236.png
447.64	0	retRatingFeedback_unsure_incorrect	foe_08236.png
450.69	0	recog_sure_correct	foe_08236.png
452.32	0	recogFeedback_sure_correct	foe_08236.png
455.84	0	recogRating_sure_correct	foe_08236.png
456.15	0	recogRatingFeedback_sure_correct	foe_08236.png
459.42	0	faceRecog_unsure_incorrect	fag_06539.png
461.48	0	ret_unsure_incorrect	fag_06539.png
462.72	0	retFeedback_unsure_incorrect	fag_06539.png
466.25	0	retRating_unsure_incorrect	fag_06539.png
467.48	0	retRatingFeedback_unsure_incorrect	fag_06539.png
470.1	0	recog_unsure_correct	fag_06539.png
471.71	0	recogFeedback_unsure_correct	fag_06539.png
474.35	0	recogRating_unsure_correct	fag_06539.png
474.9	0	recogRatingFeedback_unsure_correct	fag_06539.png
478.43	0	faceRecog_guess_incorrect	faw_14215.png
481.66	0	ret_guess_incorrect	faw_14215.png
483.81	0	retFeedback_guess_incorrect	faw_14215.png
486.47	0	retRating_guess_incorrect	faw_14215.png
487.91	0	retRatingFeedback_guess_incorrect	faw_14215.png
490.04	0	recog_unsure_correct	faw_14215.png
491.77	0	recogFeedback_unsure_correct	faw_14215.png
494.29	0	recogRating_unsure_correct	faw_14215.png
495.37	0	recogRatingFeedback_unsure_correct	faw_14215.png
497.67	0	faceRecog_unsure_incorrect	mas_41366.png
500.89	0	ret_unsure_incorrect	mas_41366.png
