onset	duration	trial_type	item
14.15	0	Face_guess_correct	mal_04470.png
16.53	0	Enc_guess_correct	mal_04470.png
20.85	0	Recall_guess_correct	mal_04470.png
22.02	0	Feedback_guess_correct	mal_04470.png
25.26	0	Face_sure_correct	foq_16799.png
28.03	0	Enc_sure_correct	foq_16799.png
32.86	0	Recall_sure_correct	foq_16799.png
33.61	0	Feedback_sure_correct	foq_16799.png
36.51	0	Face_unsure_correct	mas_41366.png
38.79	0	Enc_unsure_correct	mas_41366.png
43.33	0	Recall_unsure_correct	mas_41366.png
44.34	0	Feedback_unsure_correct	mas_41366.png
46.69	0	Face_guess_correct	moh_06446.png
48.61	0	Enc_guess_correct	moh_06446.png
51.84	0	Recall_guess_correct	moh_06446.png
52.45	0	Feedback_guess_correct	moh_06446.png
56.4	0	Face_unsure_correct	foc_02157.png
58.97	0	Enc_unsure_correct	foc_02157.png
62.74	0	Recall_unsure_correct	foc_02157.png
63.27	0	Feedback_unsure_correct	foc_02157.png
67.75	0	Face_sure_correct	mae_01010.png
70.55	0	Enc_sure_correct	mae_01010.png
75.58	0	Recall_sure_correct	mae_01010.png
76.15	0	Feedback_sure_correct	mae_01010.png
80	0	Face_guess_correct	mob_00760.png
82.26	0	Enc_guess_correct	mob_00760.png
86.38	0	Recall_guess_correct	mob_00760.png
86.71	0	Feedback_guess_correct	mob_00760.png
91.39	0	Face_guess_correct	mof_02408.png
94.17	0	Enc_guess_correct	mof_02408.png
97.97	0	Recall_guess_correct	mof_02408.png
99.56	0	Feedback_guess_correct	mof_02408.png
103.07	0	Face_unsure_correct	mac_59169.png
104.94	0	Enc_unsure_correct	mac_59169.png
109.3	0	Recall_unsure_correct	mac_59169.png
109.64	0	Feedback_unsure_correct	mac_59169.png
112.85	0	Face_unsure_correct	mol_07679.png
115.53	0	Enc_unsure_correct	mol_07679.png
119.85	0	Recall_unsure_correct	mol_07679.png
120.07	0	Feedback_unsure_correct	mol_07679.png
123.33	0	Face_sure_correct	fab_06018.png
126.58	0	Enc_sure_correct	fab_06018.png
131.33	0	Recall_sure_correct	fab_06018.png
131.71	0	Feedback_sure_correct	fab_06018.png
136.36	0	Face_unsure_correct	maj_01545.png
137.94	0	Enc_unsure_correct	maj_01545.png
141.71	0	Recall_unsure_correct	maj_01545.png
142.31	0	Feedback_unsure_correct	maj_01545.png
146.54	0	Face_unsure_correct	map_41499.png
149.64	0	Enc_unsure_correct	map_41499.png
152.96	0	Recall_unsure_correct	map_41499.png
153.56	0	Feedback_unsure_correct	map_41499.png
157.14	0	Face_guess_correct	fan_17286.png
160.39	0	Enc_guess_correct	fan_17286.png
164.87	0	Recall_guess_correct	fan_17286.png
165.3	0	Feedback_guess_correct	fan_17286.png
168.28	0	Face_unsure_incorrect	far_00736.png
170.6	0	Enc_unsure_incorrect	far_00736.png
173.93	0	Recall_unsure_incorrect	far_00736.png
174.4	0	Feedback_unsure_incorrect	far_00736.png
177.7	0	Face_unsure_incorrect	fop_00621.png
180.8	0	Enc_unsure_incorrect	fop_00621.png
185.04	0	Recall_unsure_incorrect	fop_00621.png
185.51	0	Feedback_unsure_incorrect	fop_00621.png
188.99	0	Face_unsure_correct	foe_08236.png
191.69	0	Enc_unsure_correct	foe_08236.png
195.39	0	Recall_unsure_correct	foe_08236.png
196.56	0	Feedback_unsure_correct	foe_08236.png
199.59	0	Face_guess_correct	mak_00987.png
202.66	0	Enc_guess_correct	mak_00987.png
206.52	0	Recall_guess_correct	mak_00987.png
208.09	0	Feedback_guess_correct	mak_00987.png
211.62	0	Face_guess_correct	mao_11634.png
214.62	0	Enc_guess_correct	mao_11634.png
218.3	0	Recall_guess_correct	mao_11634.png
219.55	0	Feedback_guess_correct	mao_11634.png
223.33	0	Face_unsure_incorrect	fai_07494.png
225.96	0	Enc_unsure_incorrect	fai_07494.png
229.93	0	Recall_unsure_incorrect	fai_07494.png
231.08	0	Feedback_unsure_incorrect	fai_07494.png
235.11	0	Face_sure_correct	moj_11821.png
238.36	0	Enc_sure_correct	moj_11821.png
241.61	0	Recall_sure_correct	moj_11821.png
242.48	0	Feedback_sure_correct	moj_11821.png
245.92	0	Face_guess_incorrect	mon_65798.png
247.99	0	Enc_guess_incorrect	mon_65798.png
251.12	0	Recall_guess_incorrect	mon_65798.png
252.59	0	Feedback_guess_incorrect	mon_65798.png
256.17	0	Face_guess_correct	fov_15046.png
259.25	0	Enc_guess_correct	fov_15046.png
262.34	0	Recall_guess_correct	fov_15046.png
263.77	0	Feedback_guess_correct	fov_15046.png
265.78	0	Face_guess_incorrect	foj_08220.png
267.7	0	Enc_guess_incorrect	foj_08220.png
272.12	0	Recall_guess_incorrect	foj_08220.png
273.15	0	Feedback_guess_incorrect	foj_08220.png
275.93	0	Face_guess_correct	foa_00207.png
278.1	0	Enc_guess_correct	foa_00207.png
282.04	0	Recall_guess_correct	foa_00207.png
282.81	0	Feedback_guess_correct	foa_00207.png
287.23	0	Face_unsure_incorrect	mau_49693.png
289.23	0	Enc_unsure_incorrect	mau_49693.png
293.59	0	Recall_unsure_incorrect	mau_49693.png
294.42	0	Feedback_unsure_incorrect	mau_49693.png
297.06	0	Face_guess_correct	foi_03389.png
300.5	0	Enc_guess_correct	foi_03389.png
304.64	0	Recall_guess_correct	foi_03389.png
305.54	0	Feedback_guess_correct	foi_03389.png
309.97	0	Face_unsure_incorrect	mos_20953.png
313.23	0	Enc_unsure_incorrect	mos_20953.png
316.57	0	Recall_unsure_incorrect	mos_20953.png
317.1	0	Feedback_unsure_incorrect	mos_20953.png
320.86	0	Face_unsure_incorrect	fat_12032.png
322.91	0	Enc_unsure_incorrect	fat_12032.png
326.31	0	Recall_unsure_incorrect	fat_12032.png
327.58	0	Feedback_unsure_incorrect	fat_12032.png
330.31	0	Face_guess_correct	faw_14215.png
333.53	0	Enc_guess_correct	faw_14215.png
336.61	0	Recall_guess_correct	faw_14215.png
337.63	0	Feedback_guess_correct	faw_14215.png
340.44	0	Face_guess_incorrect	for_15187.png
342.99	0	Enc_guess_incorrect	for_15187.png
347.07	0	Recall_guess_incorrect	for_15187.png
